cumulative_reward,hit_rate@10,ndcg@10,intra_list_diversity,catalog_coverage,novelty,agent
2.726052927190401,0.11,0.010931084886417808,0.9925,0.973,0.9746411394341555,Random
2.67528222615775,0.075,0.00842334911042922,1.0,1.0,0.975769560969469,GlobalPop
9.549886959683386,0.645,0.18270959886939253,1.0,0.04,0.7374862129835731,PersonalPop
3.7318791087318073,0.2,0.17843844788965801,0.14975,0.322,0.6464604625795506,ε-greedy
-4.442989274220869,0.085,0.08692401865534392,0.05,0.001,0.8173374874978734,UCB
20.09467592071795,0.465,0.4753015129195205,0.09525,0.139,0.04440408263028207,ThompsonSampling
2.631913085963473,0.115,0.01542539724771286,0.99175,0.982,0.9757884149722412,Q-Learning
2.783616601146905,0.07,0.006777934991381669,0.99175,0.982,0.9757884149722412,DQN
22.70845675323462,0.485,0.28524665257083015,0.4805,0.445,0.43690960931438666,REINFORCE
8.786868251038898,0.68,0.18619107433547044,1.0,0.04,0.7912537622820491,CollabFilter
